"timeMillisSpent","score"
195,"-898hard/-20630031soft"
198,"-898hard/-20523039soft"
199,"-889hard/-20447926soft"
199,"-836hard/-20467597soft"
200,"-836hard/-20407567soft"
200,"-744hard/-20623334soft"
201,"-652hard/-20672078soft"
214,"-406hard/-20840909soft"
216,"-385hard/-21235189soft"
217,"-385hard/-21218340soft"
218,"-132hard/-21198382soft"
219,"-96hard/-21251420soft"
219,"-96hard/-21239435soft"
219,"-96hard/-21224600soft"
220,"-52hard/-21208642soft"
220,"-41hard/-21241321soft"
265,"0hard/-21185130soft"
266,"0hard/-21164757soft"
268,"0hard/-21130962soft"
274,"0hard/-20732744soft"
302,"0hard/-20481024soft"
303,"0hard/-20390650soft"
338,"0hard/-20388932soft"
339,"0hard/-20380560soft"
339,"0hard/-20330670soft"
340,"0hard/-20180074soft"
340,"0hard/-20092962soft"
340,"0hard/-19900597soft"
341,"0hard/-19847983soft"
341,"0hard/-19844446soft"
342,"0hard/-19836725soft"
342,"0hard/-19798367soft"
344,"0hard/-19757740soft"
355,"0hard/-19728236soft"
356,"0hard/-19702170soft"
357,"0hard/-19664504soft"
357,"0hard/-19619839soft"
357,"0hard/-19606029soft"
361,"0hard/-19536645soft"
362,"0hard/-19492002soft"
363,"0hard/-19380098soft"
368,"0hard/-19360700soft"
368,"0hard/-19281520soft"
368,"0hard/-19254073soft"
370,"0hard/-19215930soft"
449,"0hard/-19184213soft"
480,"0hard/-19143669soft"
481,"0hard/-19132791soft"
481,"0hard/-19120921soft"
482,"0hard/-18950967soft"
482,"0hard/-18877269soft"
482,"0hard/-18855932soft"
496,"0hard/-18837004soft"
497,"0hard/-18834949soft"
497,"0hard/-18808339soft"
642,"0hard/-18796486soft"
642,"0hard/-18758888soft"
642,"0hard/-18744269soft"
643,"0hard/-18536187soft"
643,"0hard/-18488646soft"
643,"0hard/-18302253soft"
749,"0hard/-18274967soft"
754,"0hard/-18194006soft"
754,"0hard/-18185624soft"
755,"0hard/-18138253soft"
756,"0hard/-18093586soft"
756,"0hard/-17965643soft"
756,"0hard/-17939683soft"
757,"0hard/-17908837soft"
757,"0hard/-17754304soft"
758,"0hard/-17711982soft"
758,"0hard/-17698503soft"
760,"0hard/-17596691soft"
760,"0hard/-17533262soft"
761,"0hard/-17315755soft"
761,"0hard/-17289767soft"
762,"0hard/-17236659soft"
858,"0hard/-17221115soft"
859,"0hard/-17217040soft"
859,"0hard/-17107548soft"
859,"0hard/-17028444soft"
981,"0hard/-17011273soft"
981,"0hard/-16945970soft"
982,"0hard/-16869668soft"
982,"0hard/-16737314soft"
982,"0hard/-16683507soft"
1262,"0hard/-16601633soft"
1358,"0hard/-16582690soft"
1468,"0hard/-16569067soft"
1468,"0hard/-16512504soft"
1475,"0hard/-16430453soft"
1476,"0hard/-16296109soft"
1699,"0hard/-16235144soft"
1699,"0hard/-16218589soft"
1699,"0hard/-16199828soft"
1699,"0hard/-16180653soft"
1700,"0hard/-16127563soft"
1840,"0hard/-16106475soft"
1841,"0hard/-16047661soft"
1841,"0hard/-15989175soft"
1841,"0hard/-15948486soft"
1960,"0hard/-15946953soft"
1962,"0hard/-15934941soft"
2078,"0hard/-15921725soft"
2081,"0hard/-15850661soft"
