"timeMillisSpent","score"
172,"0.0hard/-3915737.5976007848560soft"
199,"0.0hard/-3910035.8281292125700soft"
200,"0.0hard/-3905141.0505540547100soft"
219,"0.0hard/-3900192.2234108788030soft"
225,"0.0hard/-3896608.1186259165730soft"
943,"0.0hard/-3890920.7317114120528soft"
1645,"0.0hard/-3889694.9836605561793soft"
1690,"0.0hard/-3886809.0561303564843soft"
1853,"0.0hard/-3877985.3201546395133soft"
3420,"0.0hard/-3875333.5626561691092soft"
4562,"0.0hard/-3867363.7847489019884soft"
5719,"0.0hard/-3867138.6623849084734soft"
5801,"0.0hard/-3858454.8274463867334soft"
7436,"0.0hard/-3857717.9556165425116soft"
9369,"0.0hard/-3855145.8157336443695soft"
9403,"0.0hard/-3851803.4844814140395soft"
11345,"0.0hard/-3851027.6245275771478soft"
12110,"0.0hard/-3848980.1048137254018soft"
12175,"0.0hard/-3845705.0516074674075soft"
12176,"0.0hard/-3845115.3072548978315soft"
12235,"0.0hard/-3844685.9605530672532soft"
13213,"0.0hard/-3831697.6376823259126soft"
15553,"0.0hard/-3829167.2146873538216soft"
18336,"0.0hard/-3828494.9193716872481soft"
18492,"0.0hard/-3823365.4217631627275soft"
18710,"0.0hard/-3821664.5087821529108soft"
19611,"0.0hard/-3820361.2233539302364soft"
22555,"0.0hard/-3818295.8645094539709soft"
22818,"0.0hard/-3810853.0333150011081soft"
24640,"0.0hard/-3809820.3662063711919soft"
24641,"0.0hard/-3808444.0857668644739soft"
24642,"0.0hard/-3807370.1948566858849soft"
25014,"0.0hard/-3797016.8655706067806soft"
32766,"0.0hard/-3793509.4929473390579soft"
37447,"0.0hard/-3792279.6466326228714soft"
38059,"0.0hard/-3791136.4292694330773soft"
42264,"0.0hard/-3789631.7765998206621soft"
44907,"0.0hard/-3786971.1066725134692soft"
45224,"0.0hard/-3786100.9319255740862soft"
45908,"0.0hard/-3785319.7058476528972soft"
47226,"0.0hard/-3784976.5523206969202soft"
49285,"0.0hard/-3779962.6168508655906soft"
50595,"0.0hard/-3777903.1182286766432soft"
51110,"0.0hard/-3776194.3017706520222soft"
51114,"0.0hard/-3775215.6773635737342soft"
56470,"0.0hard/-3769905.3771660254149soft"
63482,"0.0hard/-3768848.5768759718963soft"
65952,"0.0hard/-3767347.4860904547109soft"
67524,"0.0hard/-3765783.8787335757719soft"
70140,"0.0hard/-3765700.9911096963939soft"
71283,"0.0hard/-3764516.4406171861669soft"
73821,"0.0hard/-3762245.0546217402572soft"
76184,"0.0hard/-3760479.3925373001162soft"
81353,"0.0hard/-3759933.5638298821592soft"
82829,"0.0hard/-3758569.1436682135554soft"
84838,"0.0hard/-3757339.3047191459309soft"
88747,"0.0hard/-3757049.0287243179664soft"
88990,"0.0hard/-3756551.8945367037132soft"
89532,"0.0hard/-3755083.8676251581676soft"
89831,"0.0hard/-3754622.2595780626672soft"
93267,"0.0hard/-3753717.6313357846029soft"
93309,"0.0hard/-3752931.8095200387389soft"
98753,"0.0hard/-3751849.9875284350492soft"
100049,"0.0hard/-3750551.5104863475929soft"
101596,"0.0hard/-3749383.4505728209429soft"
104037,"0.0hard/-3748383.3986258236522soft"
105145,"0.0hard/-3746612.5424851890902soft"
135155,"0.0hard/-3745398.4208045965402soft"
135165,"0.0hard/-3744447.7815050755562soft"
135181,"0.0hard/-3744341.2121373025212soft"
135200,"0.0hard/-3743899.1549261057492soft"
135248,"0.0hard/-3743645.7863927363232soft"
135296,"0.0hard/-3742571.8954825577342soft"
135328,"0.0hard/-3741825.3628095562782soft"
135476,"0.0hard/-3741738.1251084840692soft"
135710,"0.0hard/-3738910.1532348950422soft"
135725,"0.0hard/-3738726.3180251684602soft"
