"timeMillisSpent","score"
31,"0hard/-4238395soft"
54,"0hard/-4231712soft"
74,"0hard/-4192217soft"
96,"0hard/-4172087soft"
117,"0hard/-4165561soft"
141,"0hard/-4164419soft"
165,"0hard/-4158684soft"
191,"0hard/-4157379soft"
216,"0hard/-4145912soft"
240,"0hard/-4142852soft"
269,"0hard/-4141982soft"
292,"0hard/-4140970soft"
313,"0hard/-4108652soft"
336,"0hard/-4080881soft"
358,"0hard/-4080348soft"
380,"0hard/-4079781soft"
402,"0hard/-4052412soft"
423,"0hard/-4051782soft"
442,"0hard/-4051324soft"
460,"0hard/-4018935soft"
483,"0hard/-4016872soft"
499,"0hard/-4016681soft"
517,"0hard/-3984311soft"
534,"0hard/-3984132soft"
554,"0hard/-3984031soft"
567,"0hard/-3983990soft"
578,"0hard/-3983908soft"
589,"0hard/-3983869soft"
600,"0hard/-3983839soft"
611,"0hard/-3951521soft"
629,"0hard/-3924380soft"
653,"0hard/-3923817soft"
666,"0hard/-3884802soft"
678,"0hard/-3884693soft"
691,"0hard/-3884241soft"
707,"0hard/-3884185soft"
719,"0hard/-3880178soft"
732,"0hard/-3847939soft"
745,"0hard/-3820939soft"
767,"0hard/-3820760soft"
787,"0hard/-3820681soft"
804,"0hard/-3820657soft"
820,"0hard/-3820620soft"
837,"0hard/-3820540soft"
853,"0hard/-3820413soft"
877,"0hard/-3820037soft"
889,"0hard/-3787798soft"
900,"0hard/-3787666soft"
923,"0hard/-3787615soft"
940,"0hard/-3787568soft"
956,"0hard/-3787489soft"
971,"0hard/-3787326soft"
987,"0hard/-3787304soft"
1055,"0hard/-3755331soft"
1070,"0hard/-3755199soft"
1085,"0hard/-3755173soft"
1110,"0hard/-3755126soft"
1453,"0hard/-3723641soft"
1465,"0hard/-3723330soft"
1475,"0hard/-3723283soft"
1530,"0hard/-3703381soft"
1541,"0hard/-3703344soft"
1552,"0hard/-3702348soft"
1580,"0hard/-3701906soft"
1722,"0hard/-3701711soft"
1734,"0hard/-3700962soft"
1744,"0hard/-3700678soft"
1755,"0hard/-3700059soft"
1765,"0hard/-3699952soft"
1776,"0hard/-3699915soft"
1787,"0hard/-3699880soft"
1874,"0hard/-3699854soft"
1889,"0hard/-3699378soft"
1905,"0hard/-3699040soft"
1919,"0hard/-3698842soft"
1934,"0hard/-3698732soft"
1944,"0hard/-3698651soft"
1954,"0hard/-3698629soft"
2111,"0hard/-3684774soft"
2123,"0hard/-3669155soft"
2134,"0hard/-3665445soft"
2144,"0hard/-3644936soft"
2154,"0hard/-3644723soft"
2164,"0hard/-3623235soft"
2174,"0hard/-3619721soft"
2184,"0hard/-3609292soft"
2194,"0hard/-3596325soft"
2205,"0hard/-3595490soft"
2215,"0hard/-3595127soft"
2225,"0hard/-3593143soft"
2235,"0hard/-3593022soft"
2246,"0hard/-3567814soft"
2255,"0hard/-3566626soft"
2275,"0hard/-3566499soft"
2462,"0hard/-3565864soft"
2473,"0hard/-3565766soft"
2776,"0hard/-3559687soft"
2787,"0hard/-3559041soft"
2797,"0hard/-3558854soft"
2808,"0hard/-3558650soft"
2819,"0hard/-3558431soft"
2881,"0hard/-3558371soft"
2898,"0hard/-3558367soft"
2913,"0hard/-3558166soft"
3775,"0hard/-3544285soft"
3786,"0hard/-3544066soft"
3806,"0hard/-3543459soft"
4696,"0hard/-3543193soft"
4707,"0hard/-3543070soft"
4717,"0hard/-3542790soft"
