"timeMillisSpent","score"
8,"0hard/-4238395soft"
19,"0hard/-4236843soft"
23,"0hard/-4236817soft"
24,"0hard/-4229709soft"
29,"0hard/-4229448soft"
29,"0hard/-4209311soft"
35,"0hard/-4208006soft"
40,"0hard/-4207975soft"
44,"0hard/-4207791soft"
50,"0hard/-4207773soft"
55,"0hard/-4207569soft"
60,"0hard/-4205378soft"
61,"0hard/-4173009soft"
66,"0hard/-4172988soft"
68,"0hard/-4165905soft"
71,"0hard/-4145683soft"
75,"0hard/-4144889soft"
83,"0hard/-4144870soft"
90,"0hard/-4144656soft"
96,"0hard/-4144326soft"
104,"0hard/-4144042soft"
110,"0hard/-4143652soft"
110,"0hard/-4111308soft"
115,"0hard/-4111282soft"
119,"0hard/-4083913soft"
126,"0hard/-4083757soft"
133,"0hard/-4083587soft"
133,"0hard/-4051243soft"
149,"0hard/-4051198soft"
154,"0hard/-4023427soft"
162,"0hard/-4023215soft"
172,"0hard/-4022930soft"
182,"0hard/-4018683soft"
191,"0hard/-4018521soft"
202,"0hard/-4015461soft"
215,"0hard/-4015282soft"
228,"0hard/-4015192soft"
243,"0hard/-4014625soft"
250,"0hard/-4014622soft"
253,"0hard/-3982304soft"
259,"0hard/-3982020soft"
273,"0hard/-3977245soft"
287,"0hard/-3976422soft"
301,"0hard/-3976360soft"
314,"0hard/-3971459soft"
322,"0hard/-3971165soft"
324,"0hard/-3938800soft"
329,"0hard/-3938707soft"
333,"0hard/-3931899soft"
339,"0hard/-3931873soft"
345,"0hard/-3931250soft"
351,"0hard/-3931178soft"
358,"0hard/-3930982soft"
367,"0hard/-3930568soft"
374,"0hard/-3926561soft"
375,"0hard/-3894217soft"
378,"0hard/-3866811soft"
385,"0hard/-3866798soft"
397,"0hard/-3866337soft"
398,"0hard/-3833993soft"
410,"0hard/-3833871soft"
412,"0hard/-3801553soft"
433,"0hard/-3801547soft"
455,"0hard/-3787801soft"
