"timeMillisSpent","score"
9,"0hard/-5716695soft"
14,"0hard/-5716692soft"
15,"0hard/-5716688soft"
15,"0hard/-5716683soft"
18,"0hard/-5716681soft"
19,"0hard/-5716636soft"
21,"0hard/-5716525soft"
22,"0hard/-5716524soft"
33,"0hard/-5715719soft"
47,"0hard/-5701185soft"
50,"0hard/-5700444soft"
50,"0hard/-5611927soft"
50,"0hard/-5519393soft"
56,"0hard/-5490819soft"
56,"0hard/-5461390soft"
58,"0hard/-5441651soft"
63,"0hard/-5418346soft"
64,"0hard/-5417154soft"
64,"0hard/-5411827soft"
64,"0hard/-5411679soft"
66,"0hard/-5404671soft"
66,"0hard/-5404488soft"
67,"0hard/-5396642soft"
67,"0hard/-5392243soft"
67,"0hard/-5392207soft"
69,"0hard/-5391908soft"
71,"0hard/-5363813soft"
72,"0hard/-5356645soft"
83,"0hard/-5355661soft"
83,"0hard/-5285157soft"
84,"0hard/-5281211soft"
84,"0hard/-5263036soft"
84,"0hard/-5238857soft"
107,"0hard/-5220410soft"
107,"0hard/-5219755soft"
107,"0hard/-5219439soft"
114,"0hard/-5198933soft"
115,"0hard/-5186395soft"
118,"0hard/-5047106soft"
118,"0hard/-5046727soft"
118,"0hard/-5046723soft"
128,"0hard/-4961464soft"
128,"0hard/-4961463soft"
128,"0hard/-4959911soft"
128,"0hard/-4959749soft"
128,"0hard/-4959595soft"
128,"0hard/-4948431soft"
165,"0hard/-4933313soft"
170,"0hard/-4886715soft"
193,"0hard/-4862366soft"
222,"0hard/-4847679soft"
222,"0hard/-4846668soft"
236,"0hard/-4818912soft"
237,"0hard/-4818426soft"
237,"0hard/-4748096soft"
237,"0hard/-4732601soft"
314,"0hard/-4583406soft"
314,"0hard/-4581724soft"
314,"0hard/-4548745soft"
412,"0hard/-4548449soft"
461,"0hard/-4537007soft"
461,"0hard/-4514465soft"
461,"0hard/-4494233soft"
551,"0hard/-4494112soft"
589,"0hard/-4469895soft"
590,"0hard/-4469731soft"
590,"0hard/-4451794soft"
717,"0hard/-4440323soft"
718,"0hard/-4430833soft"
718,"0hard/-4429435soft"
718,"0hard/-4363143soft"
958,"0hard/-4362884soft"
958,"0hard/-4362668soft"
1074,"0hard/-4338366soft"
1123,"0hard/-4323936soft"
1124,"0hard/-4319610soft"
1157,"0hard/-4311599soft"
1236,"0hard/-4306845soft"
1236,"0hard/-4277562soft"
1246,"0hard/-4273125soft"
1253,"0hard/-4270743soft"
1277,"0hard/-4255968soft"
1326,"0hard/-4238584soft"
1379,"0hard/-4223186soft"
1379,"0hard/-4165912soft"
1502,"0hard/-4147896soft"
1535,"0hard/-4147484soft"
1559,"0hard/-4113775soft"
1586,"0hard/-4071821soft"
1586,"0hard/-4055529soft"
1630,"0hard/-4051508soft"
1630,"0hard/-4050912soft"
1714,"0hard/-4037074soft"
1758,"0hard/-4027741soft"
1779,"0hard/-4023002soft"
1806,"0hard/-4013946soft"
1806,"0hard/-3989888soft"
1859,"0hard/-3986518soft"
1859,"0hard/-3950533soft"
1859,"0hard/-3949426soft"
1884,"0hard/-3940411soft"
1910,"0hard/-3903457soft"
1932,"0hard/-3896899soft"
1961,"0hard/-3896412soft"
1987,"0hard/-3873956soft"
2096,"0hard/-3871201soft"
2096,"0hard/-3864422soft"
2135,"0hard/-3864226soft"
2139,"0hard/-3863073soft"
2164,"0hard/-3858318soft"
2165,"0hard/-3832925soft"
2165,"0hard/-3832238soft"
2165,"0hard/-3829946soft"
2197,"0hard/-3827244soft"
2231,"0hard/-3825672soft"
2267,"0hard/-3821656soft"
2268,"0hard/-3821402soft"
2268,"0hard/-3820543soft"
2268,"0hard/-3820416soft"
2268,"0hard/-3814468soft"
2275,"0hard/-3782687soft"
2361,"0hard/-3780221soft"
2453,"0hard/-3779826soft"
2453,"0hard/-3779569soft"
2494,"0hard/-3753190soft"
2534,"0hard/-3739257soft"
2610,"0hard/-3732318soft"
2644,"0hard/-3730010soft"
2882,"0hard/-3723125soft"
2882,"0hard/-3721937soft"
2882,"0hard/-3715787soft"
2952,"0hard/-3705723soft"
2952,"0hard/-3705671soft"
2954,"0hard/-3703045soft"
2968,"0hard/-3700879soft"
3041,"0hard/-3697415soft"
3418,"0hard/-3697086soft"
3419,"0hard/-3693593soft"
3419,"0hard/-3693500soft"
3419,"0hard/-3678529soft"
3419,"0hard/-3678528soft"
3674,"0hard/-3676745soft"
3789,"0hard/-3667192soft"
3789,"0hard/-3667023soft"
3789,"0hard/-3666119soft"
3876,"0hard/-3663838soft"
3876,"0hard/-3662003soft"
4095,"0hard/-3652627soft"
4244,"0hard/-3647282soft"
4244,"0hard/-3647180soft"
4648,"0hard/-3642250soft"
4654,"0hard/-3637866soft"
4811,"0hard/-3630447soft"
5004,"0hard/-3616201soft"
5264,"0hard/-3614997soft"
5537,"0hard/-3614968soft"
5537,"0hard/-3614866soft"
5671,"0hard/-3614529soft"
5845,"0hard/-3613433soft"
5849,"0hard/-3610778soft"
