"timeMillisSpent","score"
8,"0hard/-5716695soft"
17,"0hard/-5716497soft"
26,"0hard/-5623813soft"
36,"0hard/-5623772soft"
45,"0hard/-5590822soft"
65,"0hard/-5590818soft"
76,"0hard/-5575328soft"
88,"0hard/-5575283soft"
97,"0hard/-5542333soft"
109,"0hard/-5542282soft"
123,"0hard/-5542267soft"
132,"0hard/-5504660soft"
143,"0hard/-5503815soft"
154,"0hard/-5503809soft"
164,"0hard/-5503807soft"
175,"0hard/-5503806soft"
184,"0hard/-5470856soft"
195,"0hard/-5470835soft"
205,"0hard/-5450687soft"
272,"0hard/-5450682soft"
303,"0hard/-5450679soft"
369,"0hard/-5450549soft"
380,"0hard/-5450542soft"
407,"0hard/-5450535soft"
442,"0hard/-5450520soft"
459,"0hard/-5450513soft"
475,"0hard/-5450512soft"
524,"0hard/-5450279soft"
558,"0hard/-5390560soft"
574,"0hard/-5350984soft"
590,"0hard/-5350983soft"
606,"0hard/-5350976soft"
620,"0hard/-5330828soft"
699,"0hard/-5330299soft"
716,"0hard/-5330289soft"
747,"0hard/-5330241soft"
785,"0hard/-5330231soft"
9910,"0hard/-5291671soft"
9923,"0hard/-5291656soft"
9934,"0hard/-5291342soft"
10925,"0hard/-5290962soft"
10937,"0hard/-5290914soft"
11030,"0hard/-5273103soft"
11041,"0hard/-5257542soft"
11052,"0hard/-5197378soft"
11064,"0hard/-5137122soft"
11075,"0hard/-5076963soft"
11085,"0hard/-5017032soft"
11097,"0hard/-5009501soft"
11107,"0hard/-4976807soft"
11141,"0hard/-4944243soft"
11151,"0hard/-4920570soft"
11161,"0hard/-4860939soft"
11172,"0hard/-4831918soft"
11183,"0hard/-4799058soft"
11194,"0hard/-4739284soft"
11204,"0hard/-4706705soft"
11216,"0hard/-4679342soft"
11227,"0hard/-4667309soft"
11238,"0hard/-4608113soft"
11249,"0hard/-4562886soft"
11259,"0hard/-4535590soft"
11269,"0hard/-4528386soft"
11280,"0hard/-4524893soft"
11290,"0hard/-4523117soft"
11300,"0hard/-4521121soft"
11313,"0hard/-4519947soft"
11325,"0hard/-4513899soft"
11335,"0hard/-4508493soft"
11348,"0hard/-4506083soft"
11361,"0hard/-4505667soft"
11371,"0hard/-4488529soft"
11383,"0hard/-4488180soft"
11394,"0hard/-4488137soft"
11405,"0hard/-4488100soft"
11417,"0hard/-4484652soft"
11429,"0hard/-4484645soft"
11442,"0hard/-4484546soft"
11475,"0hard/-4484354soft"
11494,"0hard/-4467721soft"
11512,"0hard/-4452226soft"
11529,"0hard/-4451944soft"
11547,"0hard/-4426551soft"
11565,"0hard/-4366990soft"
11582,"0hard/-4334601soft"
11601,"0hard/-4307299soft"
11618,"0hard/-4290717soft"
11634,"0hard/-4284005soft"
11649,"0hard/-4208245soft"
11666,"0hard/-4175876soft"
11681,"0hard/-4173376soft"
11698,"0hard/-4172150soft"
11717,"0hard/-4112641soft"
11735,"0hard/-4080268soft"
11753,"0hard/-4080204soft"
11770,"0hard/-4079942soft"
11786,"0hard/-4047577soft"
11805,"0hard/-4047427soft"
11821,"0hard/-4015083soft"
11837,"0hard/-4015070soft"
11856,"0hard/-4014451soft"
11875,"0hard/-4014233soft"
11893,"0hard/-3981915soft"
11950,"0hard/-3981898soft"
11991,"0hard/-3981871soft"
12006,"0hard/-3970063soft"
12019,"0hard/-3969256soft"
12033,"0hard/-3969092soft"
14494,"0hard/-3966724soft"
14513,"0hard/-3966420soft"
14531,"0hard/-3961694soft"
14548,"0hard/-3927193soft"
14564,"0hard/-3927075soft"
14581,"0hard/-3926965soft"
14599,"0hard/-3914975soft"
14617,"0hard/-3914863soft"
14634,"0hard/-3914773soft"
14653,"0hard/-3914757soft"
14671,"0hard/-3914426soft"
14686,"0hard/-3914405soft"
14699,"0hard/-3914392soft"
14783,"0hard/-3914372soft"
14808,"0hard/-3914344soft"
16407,"0hard/-3914284soft"
16465,"0hard/-3914172soft"
16500,"0hard/-3914155soft"
22239,"0hard/-3913634soft"
22253,"0hard/-3913631soft"
22265,"0hard/-3913513soft"
22286,"0hard/-3913478soft"
43085,"0hard/-3895286soft"
43097,"0hard/-3895196soft"
43109,"0hard/-3895038soft"
43128,"0hard/-3895006soft"
43142,"0hard/-3894914soft"
43155,"0hard/-3894875soft"
43167,"0hard/-3894796soft"
43177,"0hard/-3894721soft"
43188,"0hard/-3894704soft"
43305,"0hard/-3894662soft"
43323,"0hard/-3894544soft"
43359,"0hard/-3894540soft"
43377,"0hard/-3894527soft"
43399,"0hard/-3894524soft"
54641,"0hard/-3894458soft"
