"timeMillisSpent","score"
18,"0hard/-5716695soft"
47,"0hard/-5716691soft"
76,"0hard/-5716681soft"
105,"0hard/-5716680soft"
130,"0hard/-5716660soft"
131,"0hard/-5663562soft"
171,"0hard/-5663551soft"
173,"0hard/-5610454soft"
191,"0hard/-5610453soft"
216,"0hard/-5610443soft"
244,"0hard/-5609598soft"
253,"0hard/-5609550soft"
284,"0hard/-5609454soft"
286,"0hard/-5576504soft"
351,"0hard/-5576306soft"
351,"0hard/-5536729soft"
352,"0hard/-5477003soft"
354,"0hard/-5444055soft"
356,"0hard/-5423905soft"
386,"0hard/-5408416soft"
412,"0hard/-5375471soft"
423,"0hard/-5375468soft"
423,"0hard/-5355319soft"
427,"0hard/-5337857soft"
438,"0hard/-5337264soft"
456,"0hard/-5337101soft"
