"timeMillisSpent","score"
113,"0hard/-3674159soft"
116,"0hard/-3673915soft"
116,"0hard/-3673827soft"
122,"0hard/-3673811soft"
129,"0hard/-3673717soft"
130,"0hard/-3673663soft"
130,"0hard/-3671420soft"
134,"0hard/-3671380soft"
137,"0hard/-3670558soft"
141,"0hard/-3670541soft"
141,"0hard/-3670491soft"
154,"0hard/-3669834soft"
172,"0hard/-3668354soft"
185,"0hard/-3657448soft"
219,"0hard/-3651698soft"
232,"0hard/-3650460soft"
244,"0hard/-3615617soft"
245,"0hard/-3614288soft"
1154,"0hard/-3611446soft"
5001,"0hard/-3610906soft"
5277,"0hard/-3609629soft"
5277,"0hard/-3609443soft"
5277,"0hard/-3603209soft"
5932,"0hard/-3599945soft"
9406,"0hard/-3598519soft"
22974,"0hard/-3597352soft"
24959,"0hard/-3583629soft"
28623,"0hard/-3582965soft"
53334,"0hard/-3570154soft"
