"timeMillisSpent","score"
275,"0hard/-3674159soft"
277,"0hard/-3673915soft"
277,"0hard/-3673827soft"
280,"0hard/-3673747soft"
281,"0hard/-3673537soft"
287,"0hard/-3673414soft"
291,"0hard/-3670059soft"
292,"0hard/-3668742soft"
295,"0hard/-3646628soft"
297,"0hard/-3633663soft"
298,"0hard/-3633506soft"
341,"0hard/-3633305soft"
362,"0hard/-3633300soft"
380,"0hard/-3632654soft"
410,"0hard/-3632599soft"
484,"0hard/-3620609soft"
499,"0hard/-3619402soft"
521,"0hard/-3619058soft"
541,"0hard/-3614138soft"
542,"0hard/-3613593soft"
549,"0hard/-3608125soft"
555,"0hard/-3607841soft"
567,"0hard/-3606746soft"
570,"0hard/-3606674soft"
596,"0hard/-3605357soft"
599,"0hard/-3605200soft"
