"timeMillisSpent","score"
510,"0hard/-3674159soft"
517,"0hard/-3673915soft"
519,"0hard/-3673827soft"
532,"0hard/-3673811soft"
551,"0hard/-3673717soft"
552,"0hard/-3673663soft"
552,"0hard/-3671420soft"
554,"0hard/-3671380soft"
556,"0hard/-3670558soft"
565,"0hard/-3670541soft"
565,"0hard/-3670491soft"
613,"0hard/-3669834soft"
688,"0hard/-3668354soft"
701,"0hard/-3657448soft"
822,"0hard/-3651698soft"
849,"0hard/-3650460soft"
878,"0hard/-3615617soft"
879,"0hard/-3614288soft"
2133,"0hard/-3610143soft"
2280,"0hard/-3609088soft"
2770,"0hard/-3603202soft"
2780,"0hard/-3597670soft"
2957,"0hard/-3592525soft"
3364,"0hard/-3575307soft"
