"timeMillisSpent","score"
326,"0hard/-3674159soft"
337,"0hard/-3672842soft"
348,"0hard/-3669448soft"
370,"0hard/-3643729soft"
387,"0hard/-3638371soft"
405,"0hard/-3636817soft"
425,"0hard/-3635758soft"
437,"0hard/-3635468soft"
448,"0hard/-3623478soft"
460,"0hard/-3623237soft"
480,"0hard/-3623023soft"
577,"0hard/-3622856soft"
672,"0hard/-3619819soft"
749,"0hard/-3619803soft"
1040,"0hard/-3617749soft"
1053,"0hard/-3596341soft"
1071,"0hard/-3594692soft"
1089,"0hard/-3581743soft"
1117,"0hard/-3580021soft"
1155,"0hard/-3579952soft"
1183,"0hard/-3579847soft"
1203,"0hard/-3578676soft"
11974,"0hard/-3578611soft"
16472,"0hard/-3578453soft"
16487,"0hard/-3578444soft"
16505,"0hard/-3578091soft"
19030,"0hard/-3578061soft"
20619,"0hard/-3577991soft"
20631,"0hard/-3577931soft"
26303,"0hard/-3553883soft"
26317,"0hard/-3553349soft"
26333,"0hard/-3553160soft"
29002,"0hard/-3552341soft"
29061,"0hard/-3552038soft"
29106,"0hard/-3551834soft"
