"timeMillisSpent","score"
8,"0hard/-4238395soft"
11,"0hard/-4237765soft"
14,"0hard/-4237628soft"
14,"0hard/-4237252soft"
15,"0hard/-4236202soft"
17,"0hard/-4233691soft"
17,"0hard/-4213542soft"
22,"0hard/-4205073soft"
22,"0hard/-4197618soft"
23,"0hard/-4197260soft"
23,"0hard/-4196802soft"
23,"0hard/-4196318soft"
28,"0hard/-4177971soft"
87,"0hard/-4167053soft"
89,"0hard/-4158403soft"
89,"0hard/-4081209soft"
476,"0hard/-4078928soft"
505,"0hard/-4075442soft"
1468,"0hard/-4057619soft"
3161,"0hard/-4039976soft"
4517,"0hard/-4032872soft"
7386,"0hard/-4029062soft"
7429,"0hard/-4017228soft"
9875,"0hard/-4013194soft"
16238,"0hard/-3996803soft"
18061,"0hard/-3904137soft"
