"timeMillisSpent","score"
298,"0hard/-4238395soft"
315,"0hard/-4237765soft"
320,"0hard/-4237591soft"
329,"0hard/-4233292soft"
335,"0hard/-4232916soft"
344,"0hard/-4231866soft"
347,"0hard/-4231642soft"
350,"0hard/-4231622soft"
376,"0hard/-4227375soft"
377,"0hard/-4227155soft"
385,"0hard/-4227054soft"
389,"0hard/-4220371soft"
392,"0hard/-4219153soft"
393,"0hard/-4219115soft"
394,"0hard/-4219090soft"
405,"0hard/-4219025soft"
442,"0hard/-4219023soft"
445,"0hard/-4218892soft"
454,"0hard/-4218879soft"
457,"0hard/-4218774soft"
463,"0hard/-4186535soft"
479,"0hard/-4158035soft"
482,"0hard/-4157508soft"
511,"0hard/-4157285soft"
524,"0hard/-4156946soft"
581,"0hard/-4124628soft"
582,"0hard/-4124559soft"
585,"0hard/-4097227soft"
588,"0hard/-4097175soft"
593,"0hard/-4097154soft"
595,"0hard/-4096931soft"
596,"0hard/-4096894soft"
661,"0hard/-4096868soft"
674,"0hard/-4096672soft"
678,"0hard/-4096649soft"
715,"0hard/-4096537soft"
722,"0hard/-4096499soft"
826,"0hard/-4096349soft"
843,"0hard/-4089266soft"
844,"0hard/-4089177soft"
845,"0hard/-4075431soft"
847,"0hard/-4075429soft"
861,"0hard/-4075423soft"
917,"0hard/-4074277soft"
961,"0hard/-4074219soft"
1006,"0hard/-4074040soft"
1007,"0hard/-4053892soft"
1072,"0hard/-4053879soft"
1269,"0hard/-4014303soft"
1275,"0hard/-4014136soft"
1397,"0hard/-4012374soft"
1400,"0hard/-4009314soft"
1678,"0hard/-4009121soft"
1886,"0hard/-4008797soft"
1896,"0hard/-4008055soft"
1899,"0hard/-4008052soft"
1902,"0hard/-3975687soft"
1908,"0hard/-3943448soft"
1982,"0hard/-3916392soft"
2010,"0hard/-3916298soft"
2011,"0hard/-3883941soft"
2014,"0hard/-3851597soft"
2019,"0hard/-3824597soft"
2022,"0hard/-3824550soft"
2065,"0hard/-3824513soft"
2075,"0hard/-3824438soft"
2078,"0hard/-3824359soft"
2085,"0hard/-3820352soft"
2087,"0hard/-3820286soft"
2125,"0hard/-3820158soft"
2126,"0hard/-3787946soft"
2145,"0hard/-3787930soft"
2150,"0hard/-3787913soft"
2187,"0hard/-3787886soft"
2218,"0hard/-3787807soft"
2236,"0hard/-3787801soft"
