"timeMillisSpent","score"
11,"0hard/-4238395soft"
21,"0hard/-4237765soft"
22,"0hard/-4237628soft"
22,"0hard/-4237252soft"
23,"0hard/-4236202soft"
26,"0hard/-4233691soft"
26,"0hard/-4213542soft"
33,"0hard/-4205073soft"
33,"0hard/-4197618soft"
33,"0hard/-4197260soft"
33,"0hard/-4196802soft"
34,"0hard/-4196318soft"
38,"0hard/-4177971soft"
73,"0hard/-4167053soft"
76,"0hard/-4158403soft"
76,"0hard/-4081209soft"
149,"0hard/-4068970soft"
149,"0hard/-4068456soft"
149,"0hard/-4067909soft"
192,"0hard/-4053029soft"
193,"0hard/-4053023soft"
193,"0hard/-4052905soft"
292,"0hard/-4015938soft"
490,"0hard/-3990653soft"
717,"0hard/-3978917soft"
786,"0hard/-3966329soft"
786,"0hard/-3965416soft"
786,"0hard/-3964956soft"
923,"0hard/-3962597soft"
923,"0hard/-3947429soft"
933,"0hard/-3927789soft"
1036,"0hard/-3926002soft"
1036,"0hard/-3892917soft"
1155,"0hard/-3873472soft"
1354,"0hard/-3862148soft"
1354,"0hard/-3853276soft"
1454,"0hard/-3845672soft"
1662,"0hard/-3842562soft"
1662,"0hard/-3842546soft"
1662,"0hard/-3826367soft"
1677,"0hard/-3796673soft"
1824,"0hard/-3784423soft"
1824,"0hard/-3783101soft"
2226,"0hard/-3775908soft"
2272,"0hard/-3760883soft"
2272,"0hard/-3749821soft"
2417,"0hard/-3738874soft"
2593,"0hard/-3709229soft"
2939,"0hard/-3701809soft"
2968,"0hard/-3698619soft"
2969,"0hard/-3689858soft"
3225,"0hard/-3679942soft"
3225,"0hard/-3679830soft"
3349,"0hard/-3673351soft"
3520,"0hard/-3672468soft"
3630,"0hard/-3669012soft"
3678,"0hard/-3659455soft"
3678,"0hard/-3653720soft"
3742,"0hard/-3653198soft"
3756,"0hard/-3648400soft"
3757,"0hard/-3638474soft"
4593,"0hard/-3635659soft"
4659,"0hard/-3625880soft"
4662,"0hard/-3625672soft"
4692,"0hard/-3622898soft"
4709,"0hard/-3620051soft"
4912,"0hard/-3619262soft"
5023,"0hard/-3605729soft"
5039,"0hard/-3605352soft"
5040,"0hard/-3605171soft"
