"timeMillisSpent","score"
7,"0hard/-5716695soft"
12,"0hard/-5716692soft"
14,"0hard/-5716688soft"
14,"0hard/-5716683soft"
18,"0hard/-5716681soft"
19,"0hard/-5716636soft"
21,"0hard/-5716525soft"
23,"0hard/-5716524soft"
44,"0hard/-5715719soft"
64,"0hard/-5701185soft"
69,"0hard/-5700444soft"
69,"0hard/-5611927soft"
69,"0hard/-5519393soft"
84,"0hard/-5490819soft"
84,"0hard/-5461390soft"
87,"0hard/-5441651soft"
99,"0hard/-5435768soft"
101,"0hard/-5431251soft"
102,"0hard/-5401413soft"
114,"0hard/-5380745soft"
114,"0hard/-5353001soft"
114,"0hard/-5352993soft"
115,"0hard/-5350868soft"
115,"0hard/-5350789soft"
115,"0hard/-5350219soft"
116,"0hard/-5318006soft"
141,"0hard/-5313942soft"
141,"0hard/-5253477soft"
451,"0hard/-5204962soft"
870,"0hard/-5179041soft"
3793,"0hard/-5147450soft"
4065,"0hard/-5111331soft"
4066,"0hard/-5107431soft"
5830,"0hard/-5099667soft"
9574,"0hard/-5070865soft"
28837,"0hard/-5070171soft"
34703,"0hard/-5045753soft"
34703,"0hard/-5044507soft"
34703,"0hard/-5004973soft"
34703,"0hard/-4993299soft"
34703,"0hard/-4963810soft"
34703,"0hard/-4963047soft"
34703,"0hard/-4959725soft"
34703,"0hard/-4900472soft"
54580,"0hard/-4899893soft"
