"timeMillisSpent","score"
1852,"0hard/-46463943soft"
1873,"0hard/-46421421soft"
1875,"0hard/-46419112soft"
1876,"0hard/-46392369soft"
1878,"0hard/-46390305soft"
1879,"0hard/-46377887soft"
1881,"0hard/-46354743soft"
1882,"0hard/-46313784soft"
1883,"0hard/-46310719soft"
1884,"0hard/-46305105soft"
1885,"0hard/-46299889soft"
1886,"0hard/-46293462soft"
1887,"0hard/-46284255soft"
1889,"0hard/-46280459soft"
1889,"0hard/-46266685soft"
1890,"0hard/-46257820soft"
1891,"0hard/-46256656soft"
1893,"0hard/-46239631soft"
1893,"0hard/-46209638soft"
1895,"0hard/-46199008soft"
1896,"0hard/-46178581soft"
1897,"0hard/-46113675soft"
1898,"0hard/-46113539soft"
1899,"0hard/-46057228soft"
1899,"0hard/-46052684soft"
1900,"0hard/-46039676soft"
1901,"0hard/-46032330soft"
1902,"0hard/-46026807soft"
1902,"0hard/-46018410soft"
1903,"0hard/-46010090soft"
1904,"0hard/-46007092soft"
1905,"0hard/-45984960soft"
1906,"0hard/-45976223soft"
1906,"0hard/-45969461soft"
1907,"0hard/-45951376soft"
1908,"0hard/-45884308soft"
1908,"0hard/-45879505soft"
1909,"0hard/-45871337soft"
1910,"0hard/-45857863soft"
1911,"0hard/-45826364soft"
1912,"0hard/-45804776soft"
1913,"0hard/-45785279soft"
1914,"0hard/-45769773soft"
1914,"0hard/-45737660soft"
1915,"0hard/-45728574soft"
1916,"0hard/-45708943soft"
1918,"0hard/-45691609soft"
1918,"0hard/-45688854soft"
1919,"0hard/-45647094soft"
1922,"0hard/-45644340soft"
1923,"0hard/-45638185soft"
1924,"0hard/-45633365soft"
1925,"0hard/-45613842soft"
1925,"0hard/-45588890soft"
1926,"0hard/-45577880soft"
1926,"0hard/-45575907soft"
1927,"0hard/-45572768soft"
1927,"0hard/-45539182soft"
1928,"0hard/-45529843soft"
1929,"0hard/-45514002soft"
1929,"0hard/-45498834soft"
1930,"0hard/-45423275soft"
1931,"0hard/-45406431soft"
1931,"0hard/-45380386soft"
1932,"0hard/-45357825soft"
1934,"0hard/-45349924soft"
1934,"0hard/-45347237soft"
1936,"0hard/-45337893soft"
1938,"0hard/-45315990soft"
1938,"0hard/-45287702soft"
1939,"0hard/-45247845soft"
1940,"0hard/-45234151soft"
1941,"0hard/-45229180soft"
1942,"0hard/-45221251soft"
1943,"0hard/-45220163soft"
1945,"0hard/-45206961soft"
1946,"0hard/-45182454soft"
1947,"0hard/-45180013soft"
1947,"0hard/-45147027soft"
1948,"0hard/-45131207soft"
1949,"0hard/-45130968soft"
1949,"0hard/-45129911soft"
1950,"0hard/-45101487soft"
1950,"0hard/-45075006soft"
1951,"0hard/-45067121soft"
1952,"0hard/-45024093soft"
1954,"0hard/-45009101soft"
1954,"0hard/-45004858soft"
1956,"0hard/-45004467soft"
1956,"0hard/-44932887soft"
1957,"0hard/-44923391soft"
1957,"0hard/-44915017soft"
1959,"0hard/-44900246soft"
1959,"0hard/-44885756soft"
1961,"0hard/-44864128soft"
1962,"0hard/-44859046soft"
1963,"0hard/-44802621soft"
1964,"0hard/-44796123soft"
1965,"0hard/-44796120soft"
1966,"0hard/-44716097soft"
1966,"0hard/-44706165soft"
1967,"0hard/-44693637soft"
1969,"0hard/-44681488soft"
1969,"0hard/-44661017soft"
1970,"0hard/-44650023soft"
1970,"0hard/-44640967soft"
1971,"0hard/-44621109soft"
1972,"0hard/-44616833soft"
1973,"0hard/-44613951soft"
1973,"0hard/-44612319soft"
1974,"0hard/-44608596soft"
1975,"0hard/-44598431soft"
1975,"0hard/-44582434soft"
1978,"0hard/-44571954soft"
1979,"0hard/-44569464soft"
1980,"0hard/-44568780soft"
1981,"0hard/-44567455soft"
1981,"0hard/-44563196soft"
1982,"0hard/-44532260soft"
1983,"0hard/-44526597soft"
1983,"0hard/-44525356soft"
1984,"0hard/-44515910soft"
1985,"0hard/-44513295soft"
1985,"0hard/-44504243soft"
1986,"0hard/-44488859soft"
1987,"0hard/-44478815soft"
1987,"0hard/-44472553soft"
1988,"0hard/-44450335soft"
1988,"0hard/-44448293soft"
1989,"0hard/-44438809soft"
1990,"0hard/-44433744soft"
1990,"0hard/-44402277soft"
1991,"0hard/-44365020soft"
1992,"0hard/-44346899soft"
1992,"0hard/-44330662soft"
1993,"0hard/-44306923soft"
1994,"0hard/-44298948soft"
1994,"0hard/-44295752soft"
1995,"0hard/-44283291soft"
1996,"0hard/-44278723soft"
1996,"0hard/-44276682soft"
1997,"0hard/-44275318soft"
1998,"0hard/-44244423soft"
1998,"0hard/-44238272soft"
1999,"0hard/-44207300soft"
1999,"0hard/-44170171soft"
2000,"0hard/-44163262soft"
2000,"0hard/-44160065soft"
2001,"0hard/-44150610soft"
2002,"0hard/-44142096soft"
2002,"0hard/-44134250soft"
2003,"0hard/-44120079soft"
2003,"0hard/-44117862soft"
2004,"0hard/-44104155soft"
2004,"0hard/-44083060soft"
2005,"0hard/-44081901soft"
2006,"0hard/-44080040soft"
2006,"0hard/-44075923soft"
2006,"0hard/-44068374soft"
2007,"0hard/-44060849soft"
2008,"0hard/-44057199soft"
2008,"0hard/-44039783soft"
2009,"0hard/-44026858soft"
2010,"0hard/-44026857soft"
2010,"0hard/-44005366soft"
2011,"0hard/-44005003soft"
2011,"0hard/-44003445soft"
2012,"0hard/-43997203soft"
2012,"0hard/-43984725soft"
2013,"0hard/-43976520soft"
2013,"0hard/-43970251soft"
2014,"0hard/-43923157soft"
2014,"0hard/-43922381soft"
2015,"0hard/-43901800soft"
2015,"0hard/-43789141soft"
2016,"0hard/-43781762soft"
2017,"0hard/-43754100soft"
2017,"0hard/-43750467soft"
2018,"0hard/-43727397soft"
2019,"0hard/-43726664soft"
2019,"0hard/-43723329soft"
2020,"0hard/-43689357soft"
2020,"0hard/-43663032soft"
2021,"0hard/-43653921soft"
2022,"0hard/-43648332soft"
2022,"0hard/-43637489soft"
2023,"0hard/-43635485soft"
2023,"0hard/-43634293soft"
2024,"0hard/-43626454soft"
2025,"0hard/-43619798soft"
2025,"0hard/-43613201soft"
2026,"0hard/-43590206soft"
2026,"0hard/-43589814soft"
2027,"0hard/-43581629soft"
2028,"0hard/-43579224soft"
2028,"0hard/-43561478soft"
2029,"0hard/-43559466soft"
2030,"0hard/-43553404soft"
2030,"0hard/-43514903soft"
2031,"0hard/-43496843soft"
2031,"0hard/-43445237soft"
2032,"0hard/-43421753soft"
2032,"0hard/-43368475soft"
2033,"0hard/-43360570soft"
2033,"0hard/-43352458soft"
2034,"0hard/-43352430soft"
2034,"0hard/-43348255soft"
2035,"0hard/-43322516soft"
2035,"0hard/-43316248soft"
2036,"0hard/-43306391soft"
2036,"0hard/-43277987soft"
2037,"0hard/-43277734soft"
2038,"0hard/-43270894soft"
2038,"0hard/-43268325soft"
2039,"0hard/-43229850soft"
2069,"0hard/-43227097soft"
2070,"0hard/-43222199soft"
2071,"0hard/-43203833soft"
2072,"0hard/-43181644soft"
2073,"0hard/-43172276soft"
2075,"0hard/-43158865soft"
2076,"0hard/-43143139soft"
2076,"0hard/-43142066soft"
2077,"0hard/-43142001soft"
2078,"0hard/-43122685soft"
2078,"0hard/-43111818soft"
2080,"0hard/-43103580soft"
2081,"0hard/-43084904soft"
2081,"0hard/-43083944soft"
2082,"0hard/-43065161soft"
2083,"0hard/-43037524soft"
2084,"0hard/-43034161soft"
2084,"0hard/-43004130soft"
2085,"0hard/-42968298soft"
2086,"0hard/-42954889soft"
2087,"0hard/-42953192soft"
2087,"0hard/-42941477soft"
2088,"0hard/-42933626soft"
2089,"0hard/-42922862soft"
2090,"0hard/-42866123soft"
2091,"0hard/-42863627soft"
2091,"0hard/-42840177soft"
2092,"0hard/-42828622soft"
2093,"0hard/-42826647soft"
2093,"0hard/-42825803soft"
2094,"0hard/-42820801soft"
2095,"0hard/-42808769soft"
2096,"0hard/-42807014soft"
2097,"0hard/-42805109soft"
2098,"0hard/-42779776soft"
2098,"0hard/-42759370soft"
2099,"0hard/-42753298soft"
2100,"0hard/-42745971soft"
2101,"0hard/-42727693soft"
2102,"0hard/-42725063soft"
2103,"0hard/-42709389soft"
2104,"0hard/-42707091soft"
2105,"0hard/-42706457soft"
2106,"0hard/-42686277soft"
2106,"0hard/-42685728soft"
2107,"0hard/-42674043soft"
2108,"0hard/-42673518soft"
2109,"0hard/-42669735soft"
2109,"0hard/-42660887soft"
2110,"0hard/-42647635soft"
2111,"0hard/-42632101soft"
2112,"0hard/-42625263soft"
2113,"0hard/-42590240soft"
2113,"0hard/-42582748soft"
2114,"0hard/-42578136soft"
2115,"0hard/-42578098soft"
2116,"0hard/-42578043soft"
2117,"0hard/-42576565soft"
2117,"0hard/-42571933soft"
2118,"0hard/-42536825soft"
2119,"0hard/-42534550soft"
2120,"0hard/-42525636soft"
2121,"0hard/-42521598soft"
2122,"0hard/-42516104soft"
2122,"0hard/-42488944soft"
2123,"0hard/-42472371soft"
2124,"0hard/-42471376soft"
2125,"0hard/-42442280soft"
2126,"0hard/-42430971soft"
2127,"0hard/-42430792soft"
2127,"0hard/-42418549soft"
2129,"0hard/-42414784soft"
2130,"0hard/-42386499soft"
2131,"0hard/-42386406soft"
2132,"0hard/-42386393soft"
2133,"0hard/-42343765soft"
2133,"0hard/-42336489soft"
2134,"0hard/-42322963soft"
2135,"0hard/-42313719soft"
2135,"0hard/-42304833soft"
2137,"0hard/-42304029soft"
2138,"0hard/-42274291soft"
2139,"0hard/-42273841soft"
2140,"0hard/-42273077soft"
2140,"0hard/-42271859soft"
2141,"0hard/-42264282soft"
2142,"0hard/-42249589soft"
2143,"0hard/-42236081soft"
2144,"0hard/-42228163soft"
2145,"0hard/-42209883soft"
2147,"0hard/-42206192soft"
2147,"0hard/-42199681soft"
2148,"0hard/-42190878soft"
2149,"0hard/-42162451soft"
2150,"0hard/-42159820soft"
2150,"0hard/-42157620soft"
2151,"0hard/-42151441soft"
2153,"0hard/-42147139soft"
2154,"0hard/-42143784soft"
2155,"0hard/-42142062soft"
2156,"0hard/-42137921soft"
2157,"0hard/-42137887soft"
2158,"0hard/-42111174soft"
