"timeMillisSpent","score"
495,"0hard/-46463943soft"
515,"0hard/-46407518soft"
527,"0hard/-46350575soft"
540,"0hard/-46288893soft"
552,"0hard/-46197180soft"
564,"0hard/-46093318soft"
577,"0hard/-46012934soft"
588,"0hard/-45955840soft"
599,"0hard/-45855656soft"
609,"0hard/-45820077soft"
620,"0hard/-45731104soft"
630,"0hard/-45646204soft"
641,"0hard/-45578393soft"
652,"0hard/-45527065soft"
715,"0hard/-45478407soft"
730,"0hard/-45423308soft"
746,"0hard/-45388011soft"
761,"0hard/-45333954soft"
776,"0hard/-45248766soft"
792,"0hard/-45145228soft"
808,"0hard/-45083101soft"
824,"0hard/-45021429soft"
840,"0hard/-44921401soft"
856,"0hard/-44821863soft"
871,"0hard/-44762866soft"
887,"0hard/-44714012soft"
904,"0hard/-44653369soft"
919,"0hard/-44623464soft"
935,"0hard/-44571043soft"
951,"0hard/-44518111soft"
966,"0hard/-44434634soft"
982,"0hard/-44321772soft"
998,"0hard/-44262231soft"
1015,"0hard/-44222202soft"
1031,"0hard/-44187985soft"
1047,"0hard/-44133218soft"
1063,"0hard/-44073590soft"
1109,"0hard/-44010991soft"
1121,"0hard/-43954080soft"
1134,"0hard/-43905877soft"
1148,"0hard/-43838289soft"
1161,"0hard/-43759259soft"
1175,"0hard/-43690813soft"
1188,"0hard/-43641760soft"
1201,"0hard/-43528072soft"
1213,"0hard/-43481240soft"
1226,"0hard/-43411283soft"
1240,"0hard/-43360285soft"
1253,"0hard/-43288228soft"
1266,"0hard/-43235411soft"
1278,"0hard/-43146455soft"
1291,"0hard/-43062436soft"
1304,"0hard/-42960030soft"
1317,"0hard/-42925602soft"
1329,"0hard/-42846296soft"
1345,"0hard/-42768352soft"
1360,"0hard/-42712618soft"
1374,"0hard/-42664796soft"
1388,"0hard/-42599574soft"
1420,"0hard/-42562300soft"
1432,"0hard/-42514213soft"
1445,"0hard/-42440103soft"
1461,"0hard/-42408385soft"
1478,"0hard/-42358078soft"
1495,"0hard/-42317901soft"
1511,"0hard/-42228200soft"
1525,"0hard/-42179505soft"
1540,"0hard/-42141482soft"
1554,"0hard/-42090072soft"
1567,"0hard/-42044479soft"
1580,"0hard/-41968303soft"
1595,"0hard/-41917930soft"
1609,"0hard/-41869884soft"
1624,"0hard/-41838170soft"
1638,"0hard/-41792835soft"
1652,"0hard/-41740080soft"
1665,"0hard/-41701221soft"
1679,"0hard/-41655173soft"
1693,"0hard/-41620437soft"
1725,"0hard/-41582574soft"
1746,"0hard/-41522134soft"
1770,"0hard/-41484350soft"
1791,"0hard/-41455581soft"
1813,"0hard/-41410923soft"
1836,"0hard/-41350923soft"
1859,"0hard/-41288299soft"
1881,"0hard/-41232860soft"
1904,"0hard/-41200680soft"
1926,"0hard/-41153766soft"
1947,"0hard/-41114888soft"
1967,"0hard/-41056400soft"
1988,"0hard/-41019765soft"
2007,"0hard/-40989667soft"
2028,"0hard/-40954451soft"
2047,"0hard/-40915162soft"
2066,"0hard/-40882262soft"
2081,"0hard/-40848600soft"
2095,"0hard/-40803490soft"
2108,"0hard/-40741585soft"
2139,"0hard/-40694493soft"
2154,"0hard/-40660542soft"
2170,"0hard/-40631577soft"
2184,"0hard/-40600457soft"
2198,"0hard/-40565354soft"
2213,"0hard/-40524999soft"
2227,"0hard/-40466042soft"
2241,"0hard/-40414747soft"
2255,"0hard/-40373848soft"
2269,"0hard/-40335617soft"
2282,"0hard/-40291417soft"
2295,"0hard/-40253930soft"
2309,"0hard/-40224247soft"
2322,"0hard/-40190914soft"
2335,"0hard/-40143035soft"
2349,"0hard/-40099917soft"
2363,"0hard/-40072722soft"
2376,"0hard/-40024291soft"
