"timeMillisSpent","score"
820,"0hard/-11203958soft"
825,"0hard/-11202954soft"
827,"0hard/-11202512soft"
827,"0hard/-11201910soft"
830,"0hard/-11199327soft"
831,"0hard/-11195803soft"
833,"0hard/-11195249soft"
834,"0hard/-11190807soft"
838,"0hard/-11190150soft"
839,"0hard/-11188004soft"
843,"0hard/-11182386soft"
843,"0hard/-11181840soft"
853,"0hard/-11175069soft"
915,"0hard/-11167868soft"
1587,"0hard/-11166497soft"
2431,"0hard/-11164130soft"
3351,"0hard/-11162907soft"
4040,"0hard/-11157359soft"
4746,"0hard/-11156175soft"
4747,"0hard/-11155400soft"
5297,"0hard/-11152888soft"
5727,"0hard/-11152247soft"
6036,"0hard/-11148774soft"
7847,"0hard/-11146344soft"
8328,"0hard/-11141695soft"
8684,"0hard/-11136547soft"
9459,"0hard/-11135319soft"
9606,"0hard/-11132920soft"
11100,"0hard/-11125143soft"
13258,"0hard/-11122646soft"
14112,"0hard/-11118021soft"
15969,"0hard/-11115839soft"
16330,"0hard/-11109070soft"
20273,"0hard/-11106291soft"
20519,"0hard/-11100685soft"
21889,"0hard/-11098815soft"
21984,"0hard/-11092093soft"
24241,"0hard/-11087712soft"
25987,"0hard/-11087001soft"
26790,"0hard/-11086267soft"
27444,"0hard/-11084049soft"
27861,"0hard/-11072887soft"
27977,"0hard/-11069755soft"
30109,"0hard/-11064916soft"
33021,"0hard/-11062874soft"
33021,"0hard/-11062822soft"
34463,"0hard/-11061737soft"
35056,"0hard/-11061264soft"
35082,"0hard/-11057141soft"
35594,"0hard/-11055380soft"
36360,"0hard/-11036723soft"
42110,"0hard/-11036590soft"
42516,"0hard/-11030118soft"
45284,"0hard/-11029553soft"
47925,"0hard/-11028191soft"
54219,"0hard/-11022076soft"
54220,"0hard/-11021042soft"
58370,"0hard/-11019156soft"
61137,"0hard/-11019038soft"
62561,"0hard/-11014778soft"
89878,"0hard/-11012463soft"
92675,"0hard/-11006658soft"
141565,"0hard/-11005673soft"
153533,"0hard/-10996594soft"
