"timeMillisSpent","score"
45,"0hard/-2660096soft"
47,"0hard/-2652329soft"
47,"0hard/-2643070soft"
131,"0hard/-2641442soft"
138,"0hard/-2641417soft"
169,"0hard/-2640873soft"
174,"0hard/-2640589soft"
176,"0hard/-2638855soft"
191,"0hard/-2634543soft"
195,"0hard/-2633249soft"
195,"0hard/-2632293soft"
282,"0hard/-2631729soft"
294,"0hard/-2631292soft"
295,"0hard/-2630599soft"
299,"0hard/-2628476soft"
367,"0hard/-2626127soft"
376,"0hard/-2623817soft"
489,"0hard/-2622568soft"
489,"0hard/-2621984soft"
613,"0hard/-2621510soft"
613,"0hard/-2609875soft"
855,"0hard/-2606690soft"
988,"0hard/-2604604soft"
1060,"0hard/-2604409soft"
1074,"0hard/-2600099soft"
1171,"0hard/-2588565soft"
1557,"0hard/-2587541soft"
1578,"0hard/-2583908soft"
1684,"0hard/-2582434soft"
1684,"0hard/-2580478soft"
1685,"0hard/-2580432soft"
1893,"0hard/-2568743soft"
2293,"0hard/-2563320soft"
2472,"0hard/-2562577soft"
2474,"0hard/-2557879soft"
2575,"0hard/-2557078soft"
2843,"0hard/-2554605soft"
3003,"0hard/-2553740soft"
3005,"0hard/-2552168soft"
3051,"0hard/-2547224soft"
3258,"0hard/-2544425soft"
3269,"0hard/-2542454soft"
3331,"0hard/-2540290soft"
3636,"0hard/-2536435soft"
4113,"0hard/-2535755soft"
4114,"0hard/-2530727soft"
4277,"0hard/-2529877soft"
4551,"0hard/-2528625soft"
4551,"0hard/-2526547soft"
4717,"0hard/-2526356soft"
4786,"0hard/-2526205soft"
4786,"0hard/-2523239soft"
4902,"0hard/-2522199soft"
5087,"0hard/-2521438soft"
5102,"0hard/-2519477soft"
5208,"0hard/-2519410soft"
5261,"0hard/-2514855soft"
5559,"0hard/-2513854soft"
5731,"0hard/-2511634soft"
5734,"0hard/-2506831soft"
6075,"0hard/-2504837soft"
6278,"0hard/-2504797soft"
6280,"0hard/-2502790soft"
6280,"0hard/-2502175soft"
6280,"0hard/-2499494soft"
6382,"0hard/-2498976soft"
6773,"0hard/-2495299soft"
6773,"0hard/-2495152soft"
