"timeMillisSpent","score"
44,"0hard/-2660096soft"
47,"0hard/-2655515soft"
50,"0hard/-2651709soft"
54,"0hard/-2647524soft"
58,"0hard/-2642884soft"
63,"0hard/-2641585soft"
68,"0hard/-2639096soft"
74,"0hard/-2630536soft"
75,"0hard/-2629368soft"
82,"0hard/-2624350soft"
90,"0hard/-2621861soft"
97,"0hard/-2616339soft"
105,"0hard/-2613548soft"
107,"0hard/-2609141soft"
109,"0hard/-2606753soft"
112,"0hard/-2603729soft"
116,"0hard/-2602028soft"
124,"0hard/-2597623soft"
133,"0hard/-2596128soft"
142,"0hard/-2593965soft"
151,"0hard/-2589936soft"
162,"0hard/-2587828soft"
172,"0hard/-2585485soft"
183,"0hard/-2584417soft"
196,"0hard/-2582327soft"
208,"0hard/-2573583soft"
223,"0hard/-2570054soft"
237,"0hard/-2566387soft"
240,"0hard/-2565058soft"
255,"0hard/-2562294soft"
273,"0hard/-2557173soft"
290,"0hard/-2550292soft"
311,"0hard/-2547559soft"
333,"0hard/-2547261soft"
356,"0hard/-2544658soft"
379,"0hard/-2539299soft"
412,"0hard/-2537222soft"
436,"0hard/-2534231soft"
461,"0hard/-2532296soft"
487,"0hard/-2523133soft"
515,"0hard/-2516713soft"
544,"0hard/-2515001soft"
575,"0hard/-2509795soft"
606,"0hard/-2509219soft"
637,"0hard/-2506555soft"
669,"0hard/-2505761soft"
701,"0hard/-2504342soft"
703,"0hard/-2501816soft"
708,"0hard/-2498159soft"
731,"0hard/-2496050soft"
762,"0hard/-2494080soft"
795,"0hard/-2490741soft"
807,"0hard/-2490395soft"
1066,"0hard/-2488146soft"
1113,"0hard/-2479597soft"
1127,"0hard/-2478789soft"
1169,"0hard/-2476681soft"
1215,"0hard/-2475135soft"
1263,"0hard/-2469743soft"
1310,"0hard/-2467396soft"
1358,"0hard/-2466799soft"
1409,"0hard/-2463634soft"
1426,"0hard/-2461676soft"
1450,"0hard/-2459313soft"
1502,"0hard/-2453350soft"
1506,"0hard/-2452848soft"
1519,"0hard/-2450588soft"
1547,"0hard/-2447261soft"
1593,"0hard/-2445332soft"
1644,"0hard/-2445092soft"
1672,"0hard/-2442037soft"
1704,"0hard/-2441255soft"
1755,"0hard/-2438493soft"
1806,"0hard/-2437409soft"
1823,"0hard/-2435010soft"
1847,"0hard/-2434190soft"
1888,"0hard/-2430732soft"
1930,"0hard/-2430721soft"
1988,"0hard/-2430299soft"
2043,"0hard/-2428473soft"
2178,"0hard/-2425452soft"
2238,"0hard/-2424941soft"
2295,"0hard/-2424101soft"
2349,"0hard/-2423760soft"
2402,"0hard/-2423386soft"
2455,"0hard/-2422316soft"
2510,"0hard/-2422117soft"
2565,"0hard/-2420636soft"
2620,"0hard/-2420181soft"
2684,"0hard/-2420030soft"
2749,"0hard/-2419994soft"
2814,"0hard/-2419981soft"
2845,"0hard/-2419523soft"
2856,"0hard/-2418482soft"
2921,"0hard/-2418033soft"
3086,"0hard/-2418009soft"
3152,"0hard/-2417076soft"
3216,"0hard/-2416720soft"
3282,"0hard/-2416652soft"
3348,"0hard/-2416236soft"
3413,"0hard/-2415450soft"
3480,"0hard/-2415388soft"
3545,"0hard/-2415380soft"
3626,"0hard/-2415086soft"
3681,"0hard/-2414915soft"
3735,"0hard/-2414854soft"
3791,"0hard/-2414801soft"
3974,"0hard/-2414775soft"
4096,"0hard/-2414648soft"
4222,"0hard/-2414254soft"
4305,"0hard/-2414059soft"
4386,"0hard/-2414026soft"
4482,"0hard/-2412440soft"
4580,"0hard/-2412377soft"
4679,"0hard/-2411585soft"
4702,"0hard/-2410888soft"
4710,"0hard/-2409946soft"
4808,"0hard/-2409893soft"
4906,"0hard/-2409589soft"
5066,"0hard/-2409576soft"
5137,"0hard/-2409250soft"
5207,"0hard/-2409205soft"
5276,"0hard/-2408526soft"
5360,"0hard/-2408110soft"
5433,"0hard/-2407727soft"
5499,"0hard/-2407719soft"
5571,"0hard/-2407632soft"
5644,"0hard/-2407549soft"
5716,"0hard/-2407547soft"
5857,"0hard/-2407497soft"
5913,"0hard/-2406834soft"
5967,"0hard/-2406754soft"
6037,"0hard/-2405439soft"
6108,"0hard/-2405121soft"
6178,"0hard/-2404892soft"
6255,"0hard/-2404772soft"
6342,"0hard/-2404690soft"
6429,"0hard/-2404399soft"
6578,"0hard/-2404353soft"
6709,"0hard/-2403125soft"
6838,"0hard/-2403124soft"
6968,"0hard/-2403049soft"
6992,"0hard/-2402912soft"
7122,"0hard/-2402821soft"
7252,"0hard/-2402757soft"
7381,"0hard/-2402048soft"
7560,"0hard/-2401496soft"
7691,"0hard/-2401444soft"
7821,"0hard/-2401130soft"
7965,"0hard/-2401034soft"
8086,"0hard/-2400847soft"
8242,"0hard/-2400781soft"
8438,"0hard/-2399928soft"
8627,"0hard/-2399851soft"
8824,"0hard/-2399834soft"
9074,"0hard/-2399772soft"
9292,"0hard/-2399710soft"
9513,"0hard/-2399057soft"
9691,"0hard/-2398898soft"
10091,"0hard/-2398885soft"
10504,"0hard/-2397576soft"
10569,"0hard/-2396971soft"
10616,"0hard/-2395136soft"
10772,"0hard/-2394799soft"
10965,"0hard/-2394790soft"
11134,"0hard/-2394382soft"
11311,"0hard/-2394345soft"
11434,"0hard/-2394219soft"
11643,"0hard/-2394092soft"
11857,"0hard/-2393518soft"
12200,"0hard/-2393501soft"
12595,"0hard/-2393155soft"
