"timeMillisSpent","score"
11737,"0hard/-83860031soft"
11854,"0hard/-83827200soft"
12118,"0hard/-83769445soft"
12183,"0hard/-83735023soft"
12217,"0hard/-83715601soft"
12250,"0hard/-83679651soft"
12283,"0hard/-83667074soft"
12315,"0hard/-83646233soft"
12345,"0hard/-83628833soft"
12374,"0hard/-83598914soft"
12402,"0hard/-83564234soft"
12432,"0hard/-83521119soft"
12458,"0hard/-83499067soft"
12498,"0hard/-83472444soft"
12523,"0hard/-83444845soft"
12547,"0hard/-83419019soft"
12569,"0hard/-83399651soft"
12590,"0hard/-83338279soft"
12610,"0hard/-83309894soft"
12629,"0hard/-83272836soft"
12648,"0hard/-83247312soft"
12668,"0hard/-83216737soft"
12687,"0hard/-83189322soft"
12715,"0hard/-83135641soft"
12737,"0hard/-83076675soft"
12755,"0hard/-83021335soft"
12774,"0hard/-82989222soft"
12794,"0hard/-82979479soft"
12813,"0hard/-82970679soft"
12833,"0hard/-82941879soft"
12853,"0hard/-82906238soft"
12871,"0hard/-82869491soft"
12889,"0hard/-82841644soft"
12909,"0hard/-82826941soft"
12935,"0hard/-82784116soft"
12954,"0hard/-82746689soft"
12971,"0hard/-82709290soft"
12990,"0hard/-82694659soft"
13007,"0hard/-82657759soft"
13026,"0hard/-82625529soft"
13043,"0hard/-82601381soft"
13061,"0hard/-82581306soft"
13083,"0hard/-82560284soft"
13099,"0hard/-82507850soft"
13124,"0hard/-82477200soft"
13141,"0hard/-82436453soft"
13159,"0hard/-82386498soft"
13176,"0hard/-82360899soft"
13193,"0hard/-82296833soft"
13209,"0hard/-82283047soft"
13225,"0hard/-82232335soft"
13241,"0hard/-82225957soft"
13257,"0hard/-82203062soft"
13273,"0hard/-82186418soft"
13299,"0hard/-82155755soft"
13315,"0hard/-82124884soft"
13331,"0hard/-82084856soft"
13347,"0hard/-82056012soft"
13364,"0hard/-82002418soft"
13381,"0hard/-81982709soft"
13398,"0hard/-81961645soft"
13414,"0hard/-81929595soft"
13429,"0hard/-81916525soft"
13444,"0hard/-81875642soft"
13470,"0hard/-81847343soft"
13485,"0hard/-81824609soft"
13501,"0hard/-81799376soft"
13517,"0hard/-81771107soft"
13533,"0hard/-81739446soft"
13548,"0hard/-81686603soft"
13565,"0hard/-81670812soft"
13581,"0hard/-81656582soft"
13597,"0hard/-81628636soft"
13613,"0hard/-81597032soft"
13649,"0hard/-81543710soft"
13665,"0hard/-81534632soft"
14095,"0hard/-81473729soft"
14110,"0hard/-81443672soft"
14126,"0hard/-81401556soft"
14140,"0hard/-81387253soft"
14155,"0hard/-81352986soft"
14169,"0hard/-81327473soft"
14183,"0hard/-81290007soft"
14197,"0hard/-81276029soft"
14212,"0hard/-81253588soft"
14227,"0hard/-81224643soft"
14241,"0hard/-81178561soft"
14255,"0hard/-81148211soft"
14269,"0hard/-81119418soft"
14284,"0hard/-81099309soft"
14297,"0hard/-81068142soft"
14312,"0hard/-81043311soft"
14326,"0hard/-81024480soft"
14340,"0hard/-80985757soft"
14354,"0hard/-80974913soft"
14369,"0hard/-80914245soft"
14383,"0hard/-80886655soft"
14398,"0hard/-80855091soft"
14414,"0hard/-80844844soft"
14431,"0hard/-80833677soft"
14446,"0hard/-80809927soft"
14461,"0hard/-80786675soft"
14476,"0hard/-80764344soft"
14490,"0hard/-80735856soft"
14505,"0hard/-80697886soft"
14523,"0hard/-80679214soft"
14539,"0hard/-80664708soft"
14555,"0hard/-80614222soft"
14570,"0hard/-80579126soft"
14585,"0hard/-80561765soft"
14600,"0hard/-80524500soft"
14614,"0hard/-80509595soft"
14630,"0hard/-80480620soft"
14644,"0hard/-80453752soft"
14659,"0hard/-80405684soft"
14673,"0hard/-80388042soft"
14688,"0hard/-80360273soft"
14703,"0hard/-80338385soft"
14718,"0hard/-80328206soft"
14732,"0hard/-80302056soft"
14763,"0hard/-80267236soft"
14778,"0hard/-80239664soft"
14792,"0hard/-80203085soft"
14807,"0hard/-80167497soft"
14822,"0hard/-80133003soft"
14837,"0hard/-80120348soft"
14853,"0hard/-80090474soft"
14867,"0hard/-80075659soft"
14882,"0hard/-80065632soft"
14897,"0hard/-80045034soft"
14913,"0hard/-80024026soft"
14927,"0hard/-79990382soft"
14942,"0hard/-79947497soft"
14956,"0hard/-79909763soft"
14971,"0hard/-79870229soft"
14986,"0hard/-79837639soft"
15001,"0hard/-79808975soft"
15015,"0hard/-79778848soft"
15029,"0hard/-79738013soft"
15044,"0hard/-79709683soft"
15058,"0hard/-79686892soft"
15072,"0hard/-79653116soft"
15086,"0hard/-79634240soft"
15101,"0hard/-79612166soft"
15116,"0hard/-79578578soft"
15132,"0hard/-79545860soft"
15146,"0hard/-79518795soft"
15162,"0hard/-79486117soft"
15176,"0hard/-79472358soft"
15191,"0hard/-79459973soft"
15205,"0hard/-79433874soft"
15219,"0hard/-79385579soft"
15235,"0hard/-79351546soft"
15250,"0hard/-79319963soft"
15265,"0hard/-79289471soft"
15279,"0hard/-79278808soft"
15295,"0hard/-79238197soft"
15310,"0hard/-79218133soft"
15325,"0hard/-79196253soft"
15339,"0hard/-79147092soft"
15354,"0hard/-79141147soft"
15369,"0hard/-79094011soft"
15385,"0hard/-79081121soft"
15401,"0hard/-79053020soft"
15417,"0hard/-79009801soft"
15432,"0hard/-78976361soft"
15447,"0hard/-78956236soft"
15462,"0hard/-78925444soft"
15477,"0hard/-78902302soft"
15492,"0hard/-78846566soft"
15506,"0hard/-78810794soft"
15522,"0hard/-78764187soft"
15537,"0hard/-78741796soft"
15553,"0hard/-78717120soft"
15568,"0hard/-78666356soft"
15584,"0hard/-78638509soft"
15598,"0hard/-78614015soft"
15614,"0hard/-78590976soft"
15629,"0hard/-78574327soft"
15644,"0hard/-78544668soft"
15659,"0hard/-78511664soft"
15675,"0hard/-78454216soft"
15690,"0hard/-78398484soft"
15705,"0hard/-78361110soft"
15721,"0hard/-78309544soft"
15737,"0hard/-78290609soft"
15752,"0hard/-78278726soft"
15768,"0hard/-78268468soft"
15784,"0hard/-78216604soft"
15799,"0hard/-78164464soft"
15815,"0hard/-78145754soft"
15830,"0hard/-78116995soft"
15846,"0hard/-78090893soft"
15864,"0hard/-78075054soft"
15880,"0hard/-78059637soft"
15896,"0hard/-78001120soft"
15912,"0hard/-77989382soft"
15928,"0hard/-77946383soft"
15942,"0hard/-77937388soft"
15958,"0hard/-77914085soft"
15973,"0hard/-77875740soft"
15988,"0hard/-77866361soft"
16006,"0hard/-77831481soft"
16049,"0hard/-77796114soft"
16064,"0hard/-77750142soft"
16081,"0hard/-77732559soft"
16099,"0hard/-77718344soft"
16115,"0hard/-77692284soft"
16131,"0hard/-77663224soft"
16147,"0hard/-77642800soft"
16163,"0hard/-77621170soft"
16179,"0hard/-77611600soft"
16195,"0hard/-77566969soft"
16210,"0hard/-77549855soft"
16225,"0hard/-77510193soft"
16240,"0hard/-77463853soft"
16256,"0hard/-77444444soft"
16272,"0hard/-77413963soft"
16288,"0hard/-77406938soft"
16304,"0hard/-77399838soft"
16319,"0hard/-77376200soft"
16336,"0hard/-77358270soft"
16351,"0hard/-77302836soft"
16367,"0hard/-77258213soft"
16382,"0hard/-77227148soft"
16398,"0hard/-77200506soft"
16414,"0hard/-77141045soft"
16430,"0hard/-77106547soft"
16446,"0hard/-77099163soft"
16462,"0hard/-77065034soft"
16477,"0hard/-77035812soft"
16493,"0hard/-77021462soft"
16510,"0hard/-76993641soft"
16527,"0hard/-76951629soft"
16544,"0hard/-76922396soft"
16560,"0hard/-76868191soft"
16576,"0hard/-76855784soft"
16592,"0hard/-76842223soft"
16608,"0hard/-76817202soft"
16624,"0hard/-76794774soft"
16640,"0hard/-76787658soft"
16656,"0hard/-76769610soft"
16672,"0hard/-76746059soft"
16688,"0hard/-76713045soft"
16704,"0hard/-76695953soft"
16720,"0hard/-76678225soft"
16736,"0hard/-76650106soft"
16752,"0hard/-76634978soft"
16769,"0hard/-76615236soft"
16785,"0hard/-76574452soft"
16800,"0hard/-76556622soft"
16817,"0hard/-76538957soft"
16833,"0hard/-76526913soft"
16849,"0hard/-76508115soft"
16866,"0hard/-76465579soft"
16883,"0hard/-76448792soft"
16899,"0hard/-76411032soft"
16916,"0hard/-76392131soft"
16932,"0hard/-76352197soft"
16948,"0hard/-76312803soft"
16965,"0hard/-76290665soft"
16981,"0hard/-76275801soft"
16998,"0hard/-76273649soft"
17015,"0hard/-76227525soft"
17031,"0hard/-76209586soft"
17048,"0hard/-76186283soft"
17064,"0hard/-76166719soft"
17080,"0hard/-76121953soft"
17097,"0hard/-76094687soft"
17115,"0hard/-76075361soft"
17133,"0hard/-76027232soft"
17150,"0hard/-75990028soft"
17167,"0hard/-75963057soft"
17183,"0hard/-75918348soft"
17200,"0hard/-75887453soft"
17217,"0hard/-75874939soft"
17240,"0hard/-75845622soft"
17261,"0hard/-75790628soft"
17319,"0hard/-75774680soft"
17336,"0hard/-75736446soft"
17353,"0hard/-75705391soft"
17370,"0hard/-75659297soft"
17386,"0hard/-75641250soft"
17404,"0hard/-75604102soft"
