"timeMillisSpent","score"
9806,"0hard/-10578928soft"
9819,"0hard/-10578927soft"
9823,"0hard/-10578925soft"
9829,"0hard/-10578924soft"
9833,"0hard/-10578920soft"
9835,"0hard/-10578918soft"
9837,"0hard/-10578914soft"
9840,"0hard/-10578913soft"
9845,"0hard/-10578905soft"
9846,"0hard/-10578904soft"
9852,"0hard/-10578901soft"
9855,"0hard/-10578900soft"
9859,"0hard/-10578899soft"
9861,"0hard/-10578898soft"
9862,"0hard/-10578894soft"
9864,"0hard/-10578892soft"
9869,"0hard/-10578884soft"
9871,"0hard/-10578881soft"
9874,"0hard/-10578879soft"
9879,"0hard/-10578864soft"
9886,"0hard/-10578857soft"
9888,"0hard/-10578855soft"
9891,"0hard/-10577408soft"
9893,"0hard/-10577407soft"
9894,"0hard/-10577405soft"
9897,"0hard/-10577402soft"
9898,"0hard/-10576227soft"
9900,"0hard/-10576226soft"
9903,"0hard/-10576220soft"
9907,"0hard/-10576218soft"
9934,"0hard/-10576216soft"
9935,"0hard/-10576212soft"
9943,"0hard/-10576207soft"
9945,"0hard/-10576206soft"
9949,"0hard/-10576205soft"
9952,"0hard/-10576204soft"
9954,"0hard/-10576202soft"
9964,"0hard/-10575308soft"
9964,"0hard/-10575305soft"
9966,"0hard/-10575304soft"
9967,"0hard/-10575302soft"
9975,"0hard/-10575301soft"
9976,"0hard/-10575299soft"
9980,"0hard/-10575297soft"
9981,"0hard/-10575296soft"
9981,"0hard/-10575291soft"
9988,"0hard/-10575290soft"
9992,"0hard/-10575289soft"
10006,"0hard/-10575287soft"
10013,"0hard/-10575285soft"
10016,"0hard/-10575284soft"
10022,"0hard/-10575282soft"
10023,"0hard/-10575279soft"
10035,"0hard/-10575276soft"
10037,"0hard/-10575275soft"
10038,"0hard/-10573673soft"
10038,"0hard/-10573671soft"
10066,"0hard/-10573296soft"
10067,"0hard/-10573291soft"
10074,"0hard/-10573285soft"
10076,"0hard/-10573284soft"
10080,"0hard/-10573282soft"
10083,"0hard/-10573280soft"
10088,"0hard/-10573275soft"
10089,"0hard/-10573271soft"
10093,"0hard/-10573270soft"
10094,"0hard/-10573268soft"
10101,"0hard/-10573267soft"
10105,"0hard/-10573266soft"
10112,"0hard/-10573265soft"
10113,"0hard/-10573260soft"
10120,"0hard/-10568318soft"
10122,"0hard/-10563616soft"
10124,"0hard/-10563609soft"
10131,"0hard/-10563608soft"
10131,"0hard/-10562543soft"
10134,"0hard/-10560183soft"
10136,"0hard/-10560182soft"
10140,"0hard/-10560181soft"
10155,"0hard/-10560178soft"
10156,"0hard/-10560173soft"
10160,"0hard/-10560171soft"
10164,"0hard/-10560170soft"
10168,"0hard/-10554942soft"
10171,"0hard/-10554940soft"
10186,"0hard/-10554939soft"
10187,"0hard/-10553456soft"
10189,"0hard/-10553455soft"
10190,"0hard/-10553453soft"
10196,"0hard/-10553449soft"
10201,"0hard/-10550271soft"
10205,"0hard/-10550269soft"
10206,"0hard/-10550268soft"
10207,"0hard/-10550267soft"
10224,"0hard/-10550259soft"
10225,"0hard/-10550257soft"
10227,"0hard/-10550256soft"
10234,"0hard/-10550255soft"
10241,"0hard/-10550254soft"
10243,"0hard/-10550251soft"
10245,"0hard/-10550250soft"
10261,"0hard/-10550247soft"
10265,"0hard/-10545308soft"
10272,"0hard/-10545307soft"
10285,"0hard/-10545306soft"
10290,"0hard/-10545300soft"
10296,"0hard/-10545299soft"
10315,"0hard/-10545297soft"
10319,"0hard/-10545296soft"
10323,"0hard/-10545295soft"
10327,"0hard/-10545292soft"
10341,"0hard/-10545290soft"
10342,"0hard/-10545289soft"
10345,"0hard/-10545287soft"
10348,"0hard/-10545281soft"
10356,"0hard/-10545280soft"
10370,"0hard/-10545279soft"
10372,"0hard/-10545278soft"
10375,"0hard/-10545277soft"
10380,"0hard/-10545275soft"
10383,"0hard/-10545269soft"
10388,"0hard/-10545268soft"
10389,"0hard/-10545266soft"
10393,"0hard/-10545262soft"
10411,"0hard/-10543757soft"
10412,"0hard/-10543756soft"
10416,"0hard/-10543754soft"
10421,"0hard/-10543589soft"
10431,"0hard/-10543588soft"
10450,"0hard/-10543587soft"
10455,"0hard/-10543585soft"
10461,"0hard/-10543584soft"
10467,"0hard/-10543581soft"
10473,"0hard/-10543580soft"
10484,"0hard/-10543579soft"
10485,"0hard/-10543575soft"
10489,"0hard/-10543572soft"
10490,"0hard/-10543570soft"
10499,"0hard/-10543390soft"
10506,"0hard/-10543389soft"
10518,"0hard/-10543388soft"
10527,"0hard/-10543385soft"
10541,"0hard/-10543383soft"
10555,"0hard/-10543381soft"
10584,"0hard/-10543379soft"
10587,"0hard/-10543378soft"
10587,"0hard/-10541966soft"
10589,"0hard/-10541959soft"
10591,"0hard/-10541958soft"
10593,"0hard/-10541957soft"
10597,"0hard/-10541956soft"
10609,"0hard/-10541955soft"
10610,"0hard/-10541954soft"
10613,"0hard/-10541953soft"
10628,"0hard/-10541949soft"
10631,"0hard/-10541945soft"
10635,"0hard/-10540570soft"
10638,"0hard/-10540564soft"
10654,"0hard/-10540563soft"
10662,"0hard/-10540562soft"
10667,"0hard/-10540561soft"
10670,"0hard/-10540559soft"
10678,"0hard/-10540556soft"
10683,"0hard/-10540555soft"
10685,"0hard/-10540553soft"
10688,"0hard/-10540551soft"
10696,"0hard/-10540549soft"
10703,"0hard/-10540548soft"
10706,"0hard/-10540547soft"
10713,"0hard/-10540545soft"
10746,"0hard/-10540544soft"
10751,"0hard/-10540535soft"
10757,"0hard/-10540531soft"
10763,"0hard/-10540529soft"
10801,"0hard/-10540525soft"
10810,"0hard/-10540524soft"
10828,"0hard/-10540521soft"
10838,"0hard/-10528324soft"
10841,"0hard/-10528323soft"
10850,"0hard/-10528322soft"
10853,"0hard/-10528118soft"
10858,"0hard/-10528117soft"
10884,"0hard/-10528109soft"
10894,"0hard/-10527442soft"
10896,"0hard/-10527440soft"
10905,"0hard/-10527437soft"
10914,"0hard/-10527434soft"
10915,"0hard/-10527433soft"
10917,"0hard/-10527427soft"
10917,"0hard/-10527426soft"
10918,"0hard/-10527425soft"
10920,"0hard/-10527423soft"
10928,"0hard/-10527422soft"
10930,"0hard/-10527420soft"
10933,"0hard/-10527419soft"
10961,"0hard/-10527417soft"
10981,"0hard/-10521879soft"
10983,"0hard/-10521878soft"
10993,"0hard/-10521877soft"
10994,"0hard/-10521876soft"
10995,"0hard/-10521871soft"
10997,"0hard/-10521870soft"
11012,"0hard/-10521868soft"
11023,"0hard/-10521863soft"
11034,"0hard/-10521862soft"
11041,"0hard/-10521861soft"
11043,"0hard/-10521858soft"
11055,"0hard/-10515383soft"
11062,"0hard/-10515382soft"
11066,"0hard/-10515381soft"
11084,"0hard/-10515196soft"
11089,"0hard/-10515194soft"
11094,"0hard/-10515193soft"
11097,"0hard/-10515191soft"
11099,"0hard/-10515190soft"
11101,"0hard/-10515186soft"
11103,"0hard/-10514727soft"
11120,"0hard/-10514724soft"
11132,"0hard/-10514722soft"
11136,"0hard/-10514721soft"
11137,"0hard/-10514719soft"
